2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Jan";"Fev";"Mar";"Dez";"Total"
"330010 ANGRA DOS REIS";1;5;3;-;9
"330020 ARARUAMA";5;1;-;-;6
"330022 AREAL";1;-;-;-;1
"330023 ARMACAO DOS BUZIOS";1;-;1;-;2
"330025 ARRAIAL DO CABO";-;2;-;-;2
"330030 BARRA DO PIRAI";1;1;-;-;2
"330040 BARRA MANSA";-;1;1;-;2
"330045 BELFORD ROXO";14;15;6;-;35
"330060 BOM JESUS DO ITABAPOANA";27;7;-;-;34
"330070 CABO FRIO";4;14;-;-;18
"330080 CACHOEIRAS DE MACACU";1;-;1;-;2
"330090 CAMBUCI";2;-;-;-;2
"330093 CARAPEBUS";4;3;1;-;8
"330095 COMENDADOR LEVY GASPARIAN";-;-;1;-;1
"330100 CAMPOS DOS GOYTACAZES";49;59;78;-;186
"330110 CANTAGALO";-;3;1;-;4
"330115 CARDOSO MOREIRA";-;2;1;-;3
"330120 CARMO";1;-;-;-;1
"330130 CASIMIRO DE ABREU";4;-;-;-;4
"330150 CORDEIRO";-;-;1;-;1
"330170 DUQUE DE CAXIAS";11;8;3;-;22
"330185 GUAPIMIRIM";-;1;-;-;1
"330187 IGUABA GRANDE";-;5;-;-;5
"330190 ITABORAI";214;274;82;2;572
"330210 ITAOCARA";3;2;1;-;6
"330227 JAPERI";1;4;-;-;5
"330240 MACAE";23;59;39;-;121
"330245 MACUCO";-;2;-;-;2
"330250 MAGE";9;1;-;1;11
"330260 MANGARATIBA";-;1;-;-;1
"330270 MARICA";96;177;44;-;317
"330285 MESQUITA";4;21;8;-;33
"330320 NILOPOLIS";3;2;-;-;5
"330330 NITEROI";3;17;2;1;23
"330340 NOVA FRIBURGO";2;1;-;-;3
"330350 NOVA IGUACU";16;18;1;-;35
"330360 PARACAMBI";-;1;-;-;1
"330380 PARATY";2;4;-;-;6
"330385 PATY DO ALFERES";1;1;-;-;2
"330390 PETROPOLIS";4;3;-;-;7
"330395 PINHEIRAL";-;-;1;-;1
"330410 PORCIUNCULA";46;114;8;1;169
"330414 QUEIMADOS";1;3;-;-;4
"330415 QUISSAMA";2;6;-;-;8
"330420 RESENDE";4;3;-;-;7
"330430 RIO BONITO";-;3;-;-;3
"330450 RIO DAS FLORES";1;1;-;-;2
"330452 RIO DAS OSTRAS";6;3;5;-;14
"330455 RIO DE JANEIRO";328;283;133;4;748
"330460 SANTA MARIA MADALENA";-;-;3;-;3
"330470 SANTO ANTONIO DE PADUA";8;1;-;-;9
"330475 SAO FRANCISCO DE ITABAPOANA";1;5;-;-;6
"330480 SAO FIDELIS";1;6;-;-;7
"330490 SAO GONCALO";35;37;3;-;75
"330500 SAO JOAO DA BARRA";2;-;-;-;2
"330510 SAO JOAO DE MERITI";7;5;1;-;13
"330513 SAO JOSE DE UBA";1;-;-;-;1
"330515 SAO JOSE DO VALE DO RIO PRETO";3;-;1;-;4
"330520 SAO PEDRO DA ALDEIA";-;1;-;-;1
"330540 SAPUCAIA";2;3;-;-;5
"330550 SAQUAREMA";-;1;-;-;1
"330560 SILVA JARDIM";-;1;-;-;1
"330575 TANGUA";1;2;-;-;3
"330600 TRES RIOS";1;-;1;-;2
"330620 VASSOURAS";9;31;-;-;40
"330630 VOLTA REDONDA";3;17;9;-;29
"350010 ADAMANTINA";-;1;1;-;2
"350020 ADOLFO";4;1;-;-;5
"350030 AGUAI";-;-;1;-;1
"350090 ALTAIR";-;-;1;-;1
"350115 ALUMINIO";-;1;-;-;1
"350120 ALVARES FLORENCE";2;-;-;-;2
"350160 AMERICANA";6;-;-;-;6
"350170 AMERICO BRASILIENSE";1;-;-;-;1
"350180 AMERICO DE CAMPOS";1;-;-;-;1
"350190 AMPARO";-;-;1;-;1
"350210 ANDRADINA";1;1;-;-;2
"350220 ANGATUBA";-;1;1;-;2
"350250 APARECIDA";-;33;3;-;36
"350280 ARACATUBA";1;2;4;-;7
"350300 ARAMINA";-;1;-;-;1
"350320 ARARAQUARA";3;4;3;-;10
"350330 ARARAS";-;1;-;-;1
"350340 AREALVA";-;-;1;-;1
"350370 ARIRANHA";-;5;-;-;5
"350380 ARTUR NOGUEIRA";-;1;1;-;2
"350395 ASPASIA";-;-;1;-;1
"350400 ASSIS";-;1;-;-;1
"350410 ATIBAIA";3;1;-;-;4
"350460 BADY BASSITT";13;50;39;-;102
"350480 BALSAMO";10;23;17;-;50
"350490 BANANAL";-;1;1;-;2
"350550 BARRETOS";96;173;123;3;395
"350570 BARUERI";2;-;2;-;4
"350580 BASTOS";-;-;1;-;1
"350590 BATATAIS";-;1;-;-;1
"350600 BAURU";-;1;-;-;1
"350610 BEBEDOURO";3;8;1;1;13
"350620 BENTO DE ABREU";-;1;-;-;1
"350630 BERNARDINO DE CAMPOS";-;1;-;-;1
"350635 BERTIOGA";6;40;15;-;61
"350650 BIRIGUI";3;3;1;-;7
"350670 BOA ESPERANCA DO SUL";-;-;1;-;1
"350750 BOTUCATU";1;-;3;-;4
"350760 BRAGANCA PAULISTA";2;1;-;-;3
"350780 BRODOWSKI";3;1;1;-;5
"350790 BROTAS";-;-;1;-;1
"350850 CACAPAVA";2;-;-;-;2
"350860 CACHOEIRA PAULISTA";1;-;-;-;1
"350900 CAIEIRAS";-;1;-;-;1
"350920 CAJAMAR";3;5;3;-;11
"350950 CAMPINAS";18;27;48;2;95
"350990 CANANEIA";-;1;-;-;1
"351000 CANDIDO MOTA";-;1;-;-;1
"351015 CANITAR";-;1;-;-;1
"351020 CAPAO BONITO";1;1;1;-;3
"351050 CARAGUATATUBA";-;4;2;-;6
"351060 CARAPICUIBA";2;1;-;-;3
"351070 CARDOSO";7;1;-;-;8
"351080 CASA BRANCA";-;2;-;-;2
"351090 CASSIA DOS COQUEIROS";1;-;-;-;1
"351110 CATANDUVA";16;9;3;-;28
"351120 CATIGUA";1;-;-;-;1
"351130 CEDRAL";3;3;2;-;8
"351200 COLINA";7;5;4;-;16
"351210 COLOMBIA";1;-;2;-;3
"351240 CORDEIROPOLIS";-;2;-;-;2
"351250 COROADOS";1;-;1;-;2
"351270 CORUMBATAI";-;1;-;-;1
"351280 COSMOPOLIS";2;-;1;-;3
"351290 COSMORAMA";1;-;-;-;1
"351300 COTIA";3;3;-;-;6
"351310 CRAVINHOS";1;1;-;-;2
"351340 CRUZEIRO";-;-;1;-;1
"351350 CUBATAO";14;31;16;-;61
"351370 DESCALVADO";1;2;2;-;5
"351380 DIADEMA";2;5;3;-;10
"351440 DRACENA";-;1;-;-;1
"351492 ELISIARIO";-;1;-;-;1
"351500 EMBU DAS ARTES";2;-;2;-;4
"351518 ESPIRITO SANTO DO PINHAL";1;-;1;-;2
"351520 ESTRELA D'OESTE";-;1;2;-;3
"351540 FARTURA";-;1;-;-;1
"351550 FERNANDOPOLIS";2;2;1;-;5
"351560 FERNANDO PRESTES";1;-;-;-;1
"351570 FERRAZ DE VASCONCELOS";-;4;2;-;6
"351590 FLOREAL";-;1;-;-;1
"351620 FRANCA";2;3;-;-;5
"351630 FRANCISCO MORATO";2;-;3;-;5
"351640 FRANCO DA ROCHA";1;3;1;-;5
"351670 GARCA";-;-;2;-;2
"351690 GENERAL SALGADO";-;3;-;-;3
"351700 GETULINA";1;-;1;-;2
"351740 GUAIRA";-;4;1;-;5
"351750 GUAPIACU";12;17;7;1;37
"351780 GUARACAI";-;3;-;-;3
"351790 GUARACI";3;11;4;-;18
"351800 GUARANI D'OESTE";1;-;-;-;1
"351820 GUARARAPES";-;1;-;-;1
"351830 GUARAREMA";1;-;-;-;1
"351840 GUARATINGUETA";-;6;3;-;9
"351870 GUARUJA";73;253;71;2;399
"351880 GUARULHOS";34;36;50;1;121
"351900 HERCULANDIA";-;-;1;-;1
"351907 HORTOLANDIA";7;4;4;-;15
"351910 IACANGA";-;1;-;-;1
"351940 IBIRA";2;2;2;-;6
"351950 IBIRAREMA";-;1;2;-;3
"351960 IBITINGA";-;-;2;-;2
"351980 ICEM";293;35;15;27;370
"352030 IGUAPE";1;1;2;-;4
"352040 ILHABELA";1;2;-;-;3
"352050 INDAIATUBA";1;3;1;-;5
"352080 INUBIA PAULISTA";-;1;-;-;1
"352090 IPAUSSU";-;2;-;-;2
"352100 IPERO";-;1;-;-;1
"352115 IPIGUA";13;17;8;1;39
"352150 IRAPUA";4;1;-;-;5
"352180 ITAI";-;1;-;-;1
"352190 ITAJOBI";1;2;-;-;3
"352210 ITANHAEM";7;11;9;-;27
"352250 ITAPEVI";-;8;-;-;8
"352310 ITAQUAQUECETUBA";2;3;-;-;5
"352330 ITARIRI";-;1;-;-;1
"352340 ITATIBA";-;3;2;-;5
"352390 ITU";3;4;5;-;12
"352400 ITUPEVA";-;1;-;-;1
"352420 JABORANDI";1;2;1;-;4
"352430 JABOTICABAL";1;1;-;-;2
"352440 JACAREI";3;-;2;-;5
"352450 JACI";-;1;2;-;3
"352460 JACUPIRANGA";-;-;1;-;1
"352470 JAGUARIUNA";-;-;3;-;3
"352480 JALES";-;5;9;-;14
"352500 JANDIRA";-;2;1;-;3
"352520 JARINU";1;-;-;-;1
"352530 JAU";1;-;3;-;4
"352570 JOSE BONIFACIO";9;25;43;-;77
"352585 JUMIRIM";-;-;1;-;1
"352590 JUNDIAI";2;-;4;-;6
"352630 LAGOINHA";-;1;1;-;2
"352660 LAVRINHAS";-;1;-;-;1
"352670 LEME";-;4;-;-;4
"352690 LIMEIRA";1;16;1;-;18
"352720 LORENA";-;1;1;-;2
"352730 LOUVEIRA";-;-;2;-;2
"352770 LUIZIANIA";-;-;1;-;1
"352840 MAIRINQUE";-;2;-;-;2
"352850 MAIRIPORA";-;2;3;-;5
"352860 MANDURI";-;1;-;-;1
"352880 MARACAI";-;2;2;-;4
"352885 MARAPOAMA";-;12;2;-;14
"352900 MARILIA";4;20;26;-;50
"352910 MARINOPOLIS";-;1;-;-;1
"352930 MATAO";1;-;-;-;1
"352940 MAUA";3;11;4;-;18
"352950 MENDONCA";4;-;1;-;5
"352960 MERIDIANO";2;-;-;-;2
"352990 MIRACATU";-;-;1;-;1
"353010 MIRANDOPOLIS";-;1;-;1;2
"353030 MIRASSOL";12;64;54;-;130
"353040 MIRASSOLANDIA";1;-;2;-;3
"353050 MOCOCA";-;1;-;-;1
"353060 MOGI DAS CRUZES";4;4;1;-;9
"353080 MOGI MIRIM";1;1;-;-;2
"353110 MONGAGUA";1;2;2;1;6
"353120 MONTE ALEGRE DO SUL";-;1;-;-;1
"353130 MONTE ALTO";1;-;1;-;2
"353140 MONTE APRAZIVEL";4;2;2;-;8
"353150 MONTE AZUL PAULISTA";-;1;-;-;1
"353180 MONTE MOR";2;-;1;-;3
"353190 MORRO AGUDO";-;-;1;-;1
"353200 MORUNGABA";-;1;-;-;1
"353215 NANTES";-;-;1;-;1
"353230 NATIVIDADE DA SERRA";-;1;-;-;1
"353250 NEVES PAULISTA";69;241;210;-;520
"353260 NHANDEARA";-;3;1;-;4
"353270 NIPOA";-;1;-;-;1
"353280 NOVA ALIANCA";2;-;3;-;5
"353300 NOVA GRANADA";49;56;50;-;155
"353325 NOVAIS";-;1;-;-;1
"353350 NOVO HORIZONTE";-;1;2;-;3
"353360 NUPORANGA";-;-;2;-;2
"353390 OLIMPIA";4;10;13;-;27
"353400 ONDA VERDE";17;30;3;-;50
"353420 ORINDIUVA";9;8;1;1;19
"353440 OSASCO";3;10;3;-;16
"353470 OURINHOS";1;-;-;-;1
"353475 OUROESTE";1;-;-;-;1
"353500 PALESTINA";8;63;64;1;136
"353510 PALMARES PAULISTA";-;2;-;-;2
"353520 PALMEIRA D'OESTE";-;3;-;-;3
"353530 PALMITAL";-;4;-;-;4
"353550 PARAGUACU PAULISTA";-;-;4;-;4
"353560 PARAIBUNA";-;1;-;-;1
"353570 PARAISO";1;1;-;-;2
"353590 PARANAPUA";1;-;-;-;1
"353625 PARISI";-;1;3;-;4
"353650 PAULINIA";-;3;1;-;4
"353660 PAULO DE FARIA";33;94;386;-;513
"353670 PEDERNEIRAS";-;1;-;-;1
"353700 PEDREGULHO";1;-;-;-;1
"353710 PEDREIRA";2;-;-;-;2
"353740 PEREIRA BARRETO";2;3;2;-;7
"353760 PERUIBE";2;9;7;-;18
"353790 PILAR DO SUL";1;-;-;-;1
"353800 PINDAMONHANGABA";4;21;8;-;33
"353850 PIQUETE";-;1;-;-;1
"353870 PIRACICABA";-;1;5;-;6
"353880 PIRAJU";-;1;-;-;1
"353900 PIRANGI";-;8;5;-;13
"353910 PIRAPORA DO BOM JESUS";1;-;-;-;1
"353930 PIRASSUNUNGA";-;1;4;-;5
"353940 PIRATININGA";-;-;1;-;1
"353950 PITANGUEIRAS";-;1;-;-;1
"353980 POA";2;3;-;-;5
"354020 PONTAL";-;3;1;-;4
"354030 PONTES GESTAL";1;-;2;-;3
"354040 POPULINA";1;-;-;-;1
"354070 PORTO FERREIRA";-;1;1;-;2
"354075 POTIM";4;14;12;-;30
"354080 POTIRENDABA";-;1;5;-;6
"354090 PRADOPOLIS";-;2;-;-;2
"354100 PRAIA GRANDE";18;46;24;-;88
"354140 PRESIDENTE PRUDENTE";2;6;2;-;10
"354160 PROMISSAO";1;-;-;-;1
"354260 REGISTRO";-;6;7;-;13
"354310 RIBEIRAO CORRENTE";1;1;-;-;2
"354330 RIBEIRAO PIRES";-;1;1;-;2
"354340 RIBEIRAO PRETO";157;131;40;-;328
"354390 RIO CLARO";2;-;1;-;3
"354410 RIO GRANDE DA SERRA";2;9;4;-;15
"354420 RIOLANDIA";1;2;1;-;4
"354450 RUBINEIA";-;-;1;-;1
"354480 SALES";126;7;2;-;135
"354490 SALES OLIVEIRA";-;1;1;-;2
"354500 SALESOPOLIS";-;-;1;-;1
"354530 SALTO DE PIRAPORA";-;-;1;-;1
"354560 SANTA ADELIA";-;-;1;-;1
"354580 SANTA BARBARA D'OESTE";1;1;-;-;2
"354600 SANTA BRANCA";-;-;1;-;1
"354610 SANTA CLARA D'OESTE";-;1;-;-;1
"354620 SANTA CRUZ DA CONCEICAO";1;2;-;-;3
"354640 SANTA CRUZ DO RIO PARDO";-;-;1;-;1
"354680 SANTA ISABEL";1;1;-;-;2
"354730 SANTANA DE PARNAIBA";2;1;-;-;3
"354740 SANTA RITA D'OESTE";-;2;-;-;2
"354750 SANTA RITA DO PASSA QUATRO";-;-;1;-;1
"354760 SANTA ROSA DE VITERBO";-;1;-;-;1
"354770 SANTO ANASTACIO";1;-;-;-;1
"354780 SANTO ANDRE";5;2;3;-;10
"354790 SANTO ANTONIO DA ALEGRIA";-;1;-;-;1
"354800 SANTO ANTONIO DE POSSE";-;1;-;-;1
"354805 SANTO ANTONIO DO ARACANGUA";1;2;-;-;3
"354830 SANTO EXPEDITO";-;1;-;-;1
"354840 SANTOPOLIS DO AGUAPEI";1;-;3;-;4
"354850 SANTOS";179;448;269;6;902
"354870 SAO BERNARDO DO CAMPO";13;3;1;-;17
"354880 SAO CAETANO DO SUL";3;3;10;-;16
"354890 SAO CARLOS";18;10;9;-;37
"354910 SAO JOAO DA BOA VISTA";2;5;4;-;11
"354960 SAO JOSE DO BARREIRO";-;-;1;-;1
"354970 SAO JOSE DO RIO PARDO";2;1;1;-;4
"354980 SAO JOSE DO RIO PRETO";402;389;174;8;973
"354990 SAO JOSE DOS CAMPOS";8;16;36;-;60
"355000 SAO LUIS DO PARAITINGA";-;-;1;-;1
"355010 SAO MANUEL";-;1;1;-;2
"355030 SAO PAULO";150;275;185;5;615
"355050 SAO PEDRO DO TURVO";-;1;1;-;2
"355070 SAO SEBASTIAO";-;6;5;-;11
"355090 SAO SIMAO";-;3;-;-;3
"355100 SAO VICENTE";43;138;83;-;264
"355130 SEBASTIANOPOLIS DO SUL";2;1;-;-;3
"355150 SERRANA";1;4;-;-;5
"355170 SERTAOZINHO";-;1;-;1;2
"355190 SEVERINIA";1;-;-;-;1
"355210 SOCORRO";1;-;1;-;2
"355220 SOROCABA";2;7;7;-;16
"355230 SUD MENNUCCI";-;1;-;-;1
"355240 SUMARE";2;1;2;-;5
"355250 SUZANO";1;3;1;-;5
"355260 TABAPUA";1;-;4;-;5
"355280 TABOAO DA SERRA";2;22;16;-;40
"355320 TAIUVA";-;1;2;-;3
"355330 TAMBAU";-;-;1;-;1
"355340 TANABI";4;1;-;-;5
"355360 TAPIRATIBA";-;2;-;-;2
"355400 TATUI";1;1;-;-;2
"355410 TAUBATE";5;3;-;-;8
"355430 TEODORO SAMPAIO";-;-;1;-;1
"355480 TREMEMBE";-;2;-;-;2
"355490 TRES FRONTEIRAS";1;1;-;-;2
"355500 TUPA";-;2;2;-;4
"355520 TURIUBA";1;-;-;-;1
"355530 TURMALINA";-;-;1;-;1
"355535 UBARANA";3;4;12;-;19
"355540 UBATUBA";5;8;1;-;14
"355560 UCHOA";1;6;1;-;8
"355600 URUPES";-;1;-;-;1
"355610 VALENTIM GENTIL";3;2;2;-;7
"355620 VALINHOS";1;-;1;-;2
"355630 VALPARAISO";-;1;-;-;1
"355640 VARGEM GRANDE DO SUL";-;3;1;-;4
"355645 VARGEM GRANDE PAULISTA";1;1;-;-;2
"355650 VARZEA PAULISTA";-;1;-;-;1
"355700 VOTORANTIM";-;2;1;-;3
"355710 VOTUPORANGA";5;19;10;1;35
"355715 ZACARIAS";1;-;-;-;1
"410010 ABATIA";3;-;1;-;4
"410040 ALMIRANTE TAMANDARE";1;-;-;-;1
"410050 ALTONIA";-;-;1;-;1
"410060 ALTO PARANA";-;1;-;-;1
"410100 AMPERE";1;-;-;-;1
"410105 ANAHY";-;3;5;-;8
"410110 ANDIRA";1;-;-;-;1
"410120 ANTONINA";1;-;-;-;1
"410140 APUCARANA";7;6;1;-;14
"410150 ARAPONGAS";-;4;-;-;4
"410160 ARAPOTI";2;-;1;-;3
"410170 ARARUNA";-;-;1;-;1
"410190 ASSAI";1;3;-;-;4
"410210 ASTORGA";-;-;1;-;1
"410220 ATALAIA";1;-;-;-;1
"410240 BANDEIRANTES";2;2;1;-;5
"410250 BARBOSA FERRAZ";-;2;-;-;2
"410275 BELA VISTA DA CAROBA";-;1;-;-;1
"410280 BELA VISTA DO PARAISO";1;-;-;-;1
"410302 BOA ESPERANCA DO IGUACU";-;-;1;-;1
"410305 BOA VISTA DA APARECIDA";1;1;-;-;2
"410330 BORRAZOPOLIS";1;-;-;-;1
"410350 CALIFORNIA";-;-;1;-;1
"410370 CAMBE";-;2;3;-;5
"410390 CAMPINA DA LAGOA";-;1;1;-;2
"410400 CAMPINA GRANDE DO SUL";-;2;-;-;2
"410420 CAMPO LARGO";1;2;-;-;3
"410430 CAMPO MOURAO";-;1;-;-;1
"410440 CANDIDO DE ABREU";-;-;2;-;2
"410450 CAPANEMA";-;2;-;-;2
"410480 CASCAVEL";29;9;4;1;43
"410490 CASTRO";-;2;2;-;4
"410530 CEU AZUL";-;-;1;-;1
"410540 CHOPINZINHO";1;-;-;-;1
"410560 CIDADE GAUCHA";-;-;13;-;13
"410570 CLEVELANDIA";-;1;-;-;1
"410580 COLOMBO";-;-;3;-;3
"410630 CORBELIA";1;2;4;-;7
"410640 CORNELIO PROCOPIO";2;2;-;-;4
"410650 CORONEL VIVIDA";-;1;1;-;2
"410657 CRUZEIRO DO IGUACU";-;1;-;-;1
"410660 CRUZEIRO DO OESTE";-;-;3;-;3
"410685 CRUZMALTINA";-;-;1;-;1
"410690 CURITIBA";14;10;4;-;28
"410700 CURIUVA";-;-;1;-;1
"410710 DIAMANTE DO NORTE";-;1;-;-;1
"410720 DOIS VIZINHOS";-;1;-;-;1
"410730 DOUTOR CAMARGO";2;-;-;-;2
"410750 ENGENHEIRO BELTRAO";-;1;-;-;1
"410753 ENTRE RIOS DO OESTE";2;-;1;-;3
"410754 ESPIGAO ALTO DO IGUACU";-;1;-;-;1
"410760 FAXINAL";-;-;1;-;1
"410770 FENIX";-;-;1;-;1
"410790 FLORESTA";-;2;-;-;2
"410830 FOZ DO IGUACU";32;42;41;-;115
"410840 FRANCISCO BELTRAO";1;1;4;-;6
"410860 GOIOERE";-;1;-;-;1
"410880 GUAIRA";1;1;-;-;2
"410940 GUARAPUAVA";-;2;-;-;2
"410960 GUARATUBA";-;1;-;-;1
"410970 IBAITI";1;-;-;-;1
"410975 IBEMA";1;-;-;-;1
"410980 IBIPORA";1;8;1;-;10
"411000 IGUARACU";2;-;-;-;2
"411060 IPORA";1;2;1;-;4
"411065 IRACEMA DO OESTE";-;1;-;-;1
"411080 IRETAMA";-;-;1;-;1
"411095 ITAIPULANDIA";-;2;4;-;6
"411140 IVAI";-;2;-;-;2
"411155 IVATE";-;-;1;-;1
"411180 JACAREZINHO";-;-;1;-;1
"411200 JAGUARIAIVA";1;-;-;-;1
"411210 JANDAIA DO SUL";1;-;-;-;1
"411220 JANIOPOLIS";-;1;-;-;1
"411250 JARDIM ALEGRE";-;1;-;-;1
"411295 JURANDA";-;1;-;-;1
"411310 KALORE";-;1;7;-;8
"411325 LARANJAL";-;-;1;-;1
"411330 LARANJEIRAS DO SUL";-;-;1;-;1
"411340 LEOPOLIS";-;1;-;-;1
"411350 LOANDA";2;-;1;-;3
"411370 LONDRINA";5;3;18;-;26
"411373 LUIZIANA";-;1;-;-;1
"411375 LUNARDELLI";-;-;1;-;1
"411400 MAMBORE";2;-;-;-;2
"411410 MANDAGUACU";-;-;2;-;2
"411420 MANDAGUARI";-;1;3;-;4
"411435 MANFRINOPOLIS";-;1;-;-;1
"411450 MANOEL RIBAS";-;2;6;-;8
"411460 MARECHAL CANDIDO RONDON";-;-;3;-;3
"411480 MARIALVA";-;-;1;-;1
"411500 MARILENA";1;-;-;-;1
"411510 MARILUZ";1;1;-;-;2
"411520 MARINGA";4;10;7;-;21
"411535 MARIPA";3;-;-;-;3
"411540 MARMELEIRO";-;-;1;-;1
"411560 MATELANDIA";-;5;2;-;7
"411570 MATINHOS";-;-;3;-;3
"411575 MAUA DA SERRA";-;1;-;-;1
"411580 MEDIANEIRA";7;2;1;-;10
"411605 MISSAL";2;-;4;-;6
"411610 MOREIRA SALES";-;-;1;-;1
"411640 NOSSA SENHORA DAS GRACAS";-;1;-;-;1
"411670 NOVA AURORA";-;-;1;-;1
"411690 NOVA ESPERANCA";-;1;1;-;2
"411727 NOVA TEBAS";-;2;-;-;2
"411729 NOVO ITACOLOMI";1;-;-;-;1
"411730 ORTIGUEIRA";1;-;1;-;2
"411745 OURO VERDE DO OESTE";-;1;1;-;2
"411750 PAICANDU";1;4;1;-;6
"411770 PALMEIRA";-;1;-;-;1
"411780 PALMITAL";-;2;5;-;7
"411790 PALOTINA";2;2;-;-;4
"411820 PARANAGUA";-;-;1;-;1
"411830 PARANAPOEMA";1;-;-;-;1
"411850 PATO BRANCO";-;1;5;-;6
"411890 PEROLA";-;-;1;-;1
"411915 PINHAIS";2;6;5;-;13
"411940 PIRAI DO SUL";-;1;-;-;1
"411950 PIRAQUARA";3;2;1;-;6
"411960 PITANGA";-;3;1;-;4
"411970 PLANALTINA DO PARANA";1;1;-;-;2
"411990 PONTA GROSSA";2;7;5;-;14
"412000 PORECATU";-;1;-;-;1
"412033 PRADO FERREIRA";-;1;-;-;1
"412040 PRESIDENTE CASTELO BRANCO";1;-;-;-;1
"412050 PRIMEIRO DE MAIO";-;-;2;-;2
"412070 QUATIGUA";-;1;-;-;1
"412080 QUATRO BARRAS";2;-;-;-;2
"412090 QUEDAS DO IGUACU";3;4;-;-;7
"412110 QUINTA DO SOL";-;1;1;-;2
"412140 REALEZA";-;1;-;-;1
"412240 ROLANDIA";3;1;3;-;7
"412350 SANTA HELENA";1;1;1;-;3
"412380 SANTA IZABEL DO OESTE";1;2;1;-;4
"412382 SANTA LUCIA";-;1;1;-;2
"412402 SANTA TEREZA DO OESTE";-;3;5;-;8
"412405 SANTA TEREZINHA DE ITAIPU";2;1;-;-;3
"412410 SANTO ANTONIO DA PLATINA";1;3;4;-;8
"412440 SANTO ANTONIO DO SUDOESTE";-;2;-;-;2
"412460 SAO CARLOS DO IVAI";1;-;1;-;2
"412480 SAO JOAO";-;-;1;-;1
"412550 SAO JOSE DOS PINHAIS";-;3;-;-;3
"412560 SAO MATEUS DO SUL";-;-;1;-;1
"412570 SAO MIGUEL DO IGUACU";-;2;-;-;2
"412580 SAO PEDRO DO IVAI";-;1;-;-;1
"412625 SARANDI";-;-;1;-;1
"412630 SENGES";-;1;-;-;1
"412660 SIQUEIRA CAMPOS";-;1;1;-;2
"412665 SULINA";-;-;1;-;1
"412710 TELEMACO BORBA";2;-;3;-;5
"412730 TERRA RICA";-;-;1;-;1
"412740 TERRA ROXA";3;-;-;-;3
"412770 TOLEDO";1;-;1;-;2
"412780 TOMAZINA";-;3;-;-;3
"412785 TRES BARRAS DO PARANA";-;2;1;-;3
"412800 UBIRATA";-;-;1;-;1
"412853 VENTANIA";1;-;-;-;1
"412855 VERA CRUZ DO OESTE";-;6;-;-;6
"420050 AGUAS DE CHAPECO";-;2;-;-;2
"420120 ANTONIO CARLOS";-;-;1;-;1
"420140 ARARANGUA";-;1;-;-;1
"420195 BALNEARIO ARROIO DO SILVA";-;1;-;-;1
"420200 BALNEARIO CAMBORIU";9;2;-;-;11
"420205 BALNEARIO BARRA DO SUL";-;3;-;-;3
"420207 BALNEARIO GAIVOTA";-;1;-;-;1
"420230 BIGUACU";1;4;-;-;5
"420240 BLUMENAU";-;4;6;1;11
"420245 BOMBINHAS";-;-;1;-;1
"420270 BOTUVERA";-;-;1;-;1
"420280 BRACO DO NORTE";-;1;2;-;3
"420290 BRUSQUE";1;5;1;-;7
"420310 CAIBI";-;-;1;-;1
"420320 CAMBORIU";5;3;-;-;8
"420350 CAMPO ERE";-;1;-;-;1
"420380 CANOINHAS";1;-;-;-;1
"420390 CAPINZAL";-;1;-;-;1
"420395 CAPIVARI DE BAIXO";-;3;1;-;4
"420420 CHAPECO";2;3;5;-;10
"420440 CORONEL FREITAS";1;-;-;-;1
"420460 CRICIUMA";-;-;3;-;3
"420470 CUNHA PORA";-;-;1;-;1
"420490 DESCANSO";-;2;-;-;2
"420515 DOUTOR PEDRINHO";-;-;3;-;3
"420517 ENTRE RIOS";-;-;1;-;1
"420540 FLORIANOPOLIS";19;28;12;-;59
"420570 GAROPABA";1;1;-;-;2
"420590 GASPAR";-;1;1;-;2
"420630 GUABIRUBA";1;-;-;-;1
"420640 GUARACIABA";-;3;2;-;5
"420650 GUARAMIRIM";1;1;-;-;2
"420710 ILHOTA";-;-;1;-;1
"420760 IPIRA";1;-;-;-;1
"420765 IPORA DO OESTE";-;-;1;-;1
"420768 IPUACU";-;1;-;-;1
"420790 IRINEOPOLIS";-;1;-;-;1
"420810 ITAIOPOLIS";-;1;-;-;1
"420820 ITAJAI";18;17;6;-;41
"420830 ITAPEMA";2;-;1;-;3
"420890 JARAGUA DO SUL";1;3;6;-;10
"420910 JOINVILLE";4;1;4;-;9
"420930 LAGES";1;-;-;-;1
"421010 MAFRA";6;2;-;-;8
"421020 MAJOR GERCINO";-;-;1;-;1
"421050 MARAVILHA";1;-;-;-;1
"421110 MONTE CASTELO";2;1;-;-;3
"421130 NAVEGANTES";2;4;3;-;9
"421175 OTACILIO COSTA";-;1;-;-;1
"421190 PALHOCA";4;2;-;-;6
"421210 PALMITOS";-;1;-;-;1
"421220 PAPANDUVA";1;-;-;-;1
"421250 PENHA";-;2;-;-;2
"421320 POMERODE";1;-;-;-;1
"421360 PORTO UNIAO";1;1;4;-;6
"421370 POUSO REDONDO";1;-;-;-;1
"421390 PRESIDENTE CASTELLO BRANCO";-;-;4;-;4
"421480 RIO DO SUL";-;2;-;-;2
"421490 RIO FORTUNA";1;-;-;-;1
