2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"171200 LAJEADO";-;-;-;-;-;-;-;1;-;-;-;-;1
"171215 LAVANDEIRA";-;-;-;-;1;-;-;6;3;5;1;-;16
"171240 LIZARDA";-;-;-;-;-;-;-;2;2;-;-;-;4
"171245 LUZINOPOLIS";-;-;-;-;-;1;1;3;-;-;-;-;5
"171270 MATEIROS";-;-;-;-;-;1;-;-;-;-;-;-;1
"171280 MAURILANDIA DO TOCANTINS";1;-;2;-;-;-;1;2;1;-;-;-;7
"171320 MIRACEMA DO TOCANTINS";-;3;1;-;1;1;4;3;3;3;2;-;21
"171330 MIRANORTE";2;-;-;-;-;-;-;-;3;3;2;-;10
"171380 PALMEIRAS DO TOCANTINS";-;-;-;-;-;-;1;-;3;-;-;-;4
"171395 MURICILANDIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"171420 NATIVIDADE";-;1;3;-;-;2;1;3;-;-;1;-;11
"171430 NAZARE";-;-;1;-;1;-;-;-;-;-;-;-;2
"171488 NOVA OLINDA";-;1;3;3;2;2;3;3;2;3;1;-;23
"171515 NOVO ALEGRE";-;-;-;-;2;-;-;2;-;-;6;2;12
"171525 NOVO JARDIM";-;-;1;1;2;-;1;4;9;8;1;-;27
"171575 PALMEIROPOLIS";-;1;-;-;3;2;5;6;14;14;8;-;53
"171610 PARAISO DO TOCANTINS";1;1;1;1;4;4;4;4;21;19;26;6;92
"171620 PARANA";-;-;-;-;-;1;-;10;4;8;1;2;26
"171660 PEIXE";-;-;-;4;4;9;15;17;13;13;9;1;85
"171665 PEQUIZEIRO";-;-;1;-;1;1;-;3;1;2;-;-;9
"171670 COLMEIA";1;-;-;-;1;-;-;-;-;-;-;-;2
"171700 PINDORAMA DO TOCANTINS";-;-;-;-;-;2;-;3;3;2;-;-;10
"171720 PIRAQUE";1;-;-;-;-;-;-;-;-;-;-;-;1
"171750 PIUM";1;-;-;-;-;1;1;4;3;-;5;-;15
"171780 PONTE ALTA DO BOM JESUS";1;-;-;-;-;-;3;1;-;-;-;-;5
"171790 PONTE ALTA DO TOCANTINS";-;-;1;-;1;-;1;1;8;6;4;5;27
"171820 PORTO NACIONAL";5;2;3;4;4;5;10;24;59;42;18;7;183
"171830 PRAIA NORTE";-;-;-;-;-;-;1;-;-;-;-;-;1
"171840 PRESIDENTE KENNEDY";-;-;-;-;-;-;-;-;1;-;-;-;1
"171845 PUGMIL";-;2;2;1;-;3;5;6;-;1;2;-;22
"171850 RECURSOLANDIA";1;-;-;-;-;-;-;-;-;-;2;1;4
"171855 RIACHINHO";-;2;-;-;-;-;1;-;-;-;-;-;3
"171865 RIO DA CONCEICAO";-;1;-;2;-;1;-;5;2;-;1;-;12
"171870 RIO DOS BOIS";-;-;-;-;1;-;-;-;-;-;-;-;1
"171875 RIO SONO";-;-;-;-;-;2;-;1;3;-;-;-;6
"171880 SAMPAIO";-;4;-;1;-;-;1;3;1;1;-;-;11
"171884 SANDOLANDIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"171886 SANTA FE DO ARAGUAIA";-;-;-;-;-;-;1;1;-;-;-;-;2
"171889 SANTA RITA DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;3;-;3
"171890 SANTA ROSA DO TOCANTINS";-;-;-;-;-;-;-;2;-;2;-;-;4
"171900 SANTA TEREZA DO TOCANTINS";-;1;1;-;-;1;1;1;-;-;-;-;5
"172010 SAO BENTO DO TOCANTINS";-;-;-;-;-;-;-;-;1;3;2;-;6
"172020 SAO MIGUEL DO TOCANTINS";-;-;1;1;1;2;-;2;15;3;6;3;34
"172025 SAO SALVADOR DO TOCANTINS";1;-;2;-;-;-;-;4;1;5;2;1;16
"172030 SAO SEBASTIAO DO TOCANTINS";1;-;1;1;2;-;-;-;-;-;-;-;5
"172049 SAO VALERIO";-;-;-;-;-;-;1;2;1;-;-;-;4
"172065 SILVANOPOLIS";-;-;-;1;4;2;2;6;7;8;3;1;34
"172080 SITIO NOVO DO TOCANTINS";-;1;-;1;1;-;1;1;2;1;-;-;8
"172085 SUCUPIRA";-;-;-;-;1;2;2;1;1;3;2;1;13
"172090 TAGUATINGA";1;1;2;1;2;8;2;2;4;8;10;15;56
"172093 TAIPAS DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;1;-;1
"172097 TALISMA";-;-;1;-;1;1;1;1;-;-;-;-;5
"172100 PALMAS";11;6;13;6;25;19;13;17;33;114;264;138;659
"172120 TOCANTINOPOLIS";3;-;1;2;1;10;1;6;11;9;6;1;51
"172208 WANDERLANDIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"172210 XAMBIOA";-;-;-;-;-;-;1;-;1;2;-;-;4
"210005 ACAILANDIA";-;-;1;3;4;12;6;7;16;17;6;-;72
"210010 AFONSO CUNHA";-;-;-;-;-;-;-;-;3;-;-;-;3
"210015 AGUA DOCE DO MARANHAO";-;-;-;-;-;-;1;1;1;-;-;-;3
"210020 ALCANTARA";-;-;-;-;-;-;-;-;1;2;-;-;3
"210030 ALDEIAS ALTAS";-;-;-;-;-;1;1;1;-;3;2;-;8
"210040 ALTAMIRA DO MARANHAO";-;-;-;-;-;-;-;-;-;-;10;4;14
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;-;-;-;1;-;1;7;6;3;18
"210050 ALTO PARNAIBA";-;-;-;-;-;2;3;4;2;-;1;-;12
"210055 AMAPA DO MARANHAO";-;-;-;1;-;-;-;-;4;1;-;-;6
"210060 AMARANTE DO MARANHAO";-;-;-;-;-;-;-;-;-;1;1;-;2
"210083 APICUM-ACU";-;-;-;-;-;-;-;2;-;4;5;-;11
"210087 ARAGUANA";-;-;-;-;-;-;-;-;-;-;2;-;2
"210095 ARAME";1;1;-;1;-;2;2;-;1;1;-;-;9
"210100 ARARI";-;-;-;-;-;-;1;1;4;7;1;2;16
"210110 AXIXA";-;-;-;-;-;-;3;5;5;3;-;-;16
"210120 BACABAL";-;-;1;-;2;2;2;13;23;45;29;5;122
"210125 BACABEIRA";-;-;-;-;-;1;7;10;11;2;1;-;32
"210130 BACURI";-;-;-;-;-;-;-;-;1;-;1;-;2
"210135 BACURITUBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"210140 BALSAS";5;2;1;1;1;7;4;9;16;11;7;-;64
"210150 BARAO DE GRAJAU";-;-;-;1;1;-;5;-;3;1;-;-;11
"210160 BARRA DO CORDA";-;-;1;-;2;-;15;58;42;7;6;2;133
"210170 BARREIRINHAS";-;-;-;-;-;-;-;-;-;3;-;-;3
"210177 BELA VISTA DO MARANHAO";-;-;-;-;1;1;2;4;6;5;1;-;20
"210180 BENEDITO LEITE";-;-;1;-;3;1;11;11;10;5;6;12;60
"210190 BEQUIMAO";23;27;9;-;-;-;-;-;-;-;-;-;59
"210200 BOM JARDIM";-;-;1;-;-;1;-;1;2;2;1;1;9
"210203 BOM JESUS DAS SELVAS";-;-;-;-;-;-;-;2;3;2;1;5;13
"210207 BOM LUGAR";-;-;-;-;-;-;-;-;-;1;1;-;2
"210215 BREJO DE AREIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210230 BURITI BRAVO";-;-;-;-;-;-;-;-;1;3;-;1;5
"210232 BURITICUPU";-;-;-;1;-;-;6;4;6;4;40;13;74
"210235 BURITIRANA";-;-;-;-;-;-;-;2;8;5;4;-;19
"210240 CAJAPIO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210255 CAMPESTRE DO MARANHAO";-;-;-;-;-;-;1;-;1;1;6;2;11
"210270 CANTANHEDE";-;-;-;-;-;-;-;-;-;-;2;1;3
"210280 CAROLINA";-;-;-;-;-;1;-;2;5;3;1;-;12
"210290 CARUTAPERA";-;-;-;2;15;5;5;2;5;3;-;-;37
"210300 CAXIAS";-;-;1;-;-;-;-;1;2;9;12;-;25
"210310 CEDRAL";-;-;-;-;-;-;-;-;-;-;-;1;1
"210315 CENTRO DO GUILHERME";-;-;-;-;-;-;-;1;-;-;-;-;1
"210317 CENTRO NOVO DO MARANHAO";-;-;-;-;-;-;-;1;3;6;5;-;15
"210320 CHAPADINHA";-;-;-;-;-;-;-;-;3;4;2;-;9
"210325 CIDELANDIA";-;-;-;-;-;-;1;-;3;-;-;-;4
"210330 CODO";-;-;-;-;-;-;-;-;1;2;-;-;3
"210340 COELHO NETO";-;-;-;-;-;-;-;-;-;1;1;-;2
"210350 COLINAS";-;-;-;-;1;-;3;10;9;9;5;-;37
"210360 COROATA";-;-;-;-;-;-;1;3;-;-;-;-;4
"210370 CURURUPU";-;1;-;-;-;1;-;-;4;3;5;-;14
"210375 DAVINOPOLIS";-;-;-;-;-;-;1;2;9;12;10;4;38
"210380 DOM PEDRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210400 ESPERANTINOPOLIS";-;-;-;-;-;-;-;-;-;-;1;1;2
"210405 ESTREITO";-;-;1;-;-;-;-;-;4;1;6;2;14
"210407 FEIRA NOVA DO MARANHAO";-;-;1;1;-;-;-;3;3;2;6;2;18
"210409 FORMOSA DA SERRA NEGRA";-;-;-;1;1;-;1;5;-;-;2;1;11
"210410 FORTALEZA DOS NOGUEIRAS";-;-;-;-;1;3;1;2;2;-;-;-;9
"210420 FORTUNA";-;-;-;-;1;2;2;5;1;-;-;-;11
"210440 GONCALVES DIAS";-;-;-;-;-;-;-;3;13;14;12;2;44
"210455 GOVERNADOR EDISON LOBAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"210460 GOVERNADOR EUGENIO BARROS";-;-;-;-;-;-;-;-;-;1;-;-;1
"210462 GOVERNADOR LUIZ ROCHA";-;-;-;-;-;-;-;2;1;4;-;-;7
"210465 GOVERNADOR NEWTON BELLO";-;-;-;1;-;3;5;-;2;4;2;-;17
"210467 GOVERNADOR NUNES FREIRE";-;-;-;-;-;-;-;2;3;4;12;-;21
"210480 GRAJAU";-;-;-;-;1;2;7;9;3;11;7;-;40
"210490 GUIMARAES";-;-;-;-;-;-;-;-;-;2;2;-;4
"210500 HUMBERTO DE CAMPOS";-;-;-;-;-;-;-;-;2;1;-;-;3
"210515 IGARAPE DO MEIO";-;-;1;-;1;3;1;1;1;2;-;-;10
"210520 IGARAPE GRANDE";-;-;-;-;-;-;-;-;3;4;4;2;13
"210530 IMPERATRIZ";2;1;-;4;2;3;22;27;36;27;9;3;136
"210540 ITAPECURU MIRIM";-;1;-;-;-;1;7;4;1;1;-;-;15
"210542 ITINGA DO MARANHAO";-;-;-;-;-;1;-;1;2;13;17;1;35
"210545 JATOBA";-;-;-;-;-;-;-;-;2;2;8;-;12
"210547 JENIPAPO DOS VIEIRAS";-;-;-;-;-;-;3;4;1;1;4;-;13
"210550 JOAO LISBOA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210560 JOSELANDIA";-;-;-;-;-;-;-;-;-;3;2;-;5
"210565 JUNCO DO MARANHAO";-;-;-;-;-;-;-;1;1;-;-;-;2
"210570 LAGO DA PEDRA";-;-;-;-;-;-;-;-;-;3;4;-;7
"210580 LAGO DO JUNCO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210590 LAGO VERDE";-;-;-;1;-;-;-;2;-;9;5;-;17
"210592 LAGOA DO MATO";-;-;-;-;1;-;5;1;-;-;-;-;7
"210594 LAGO DOS RODRIGUES";-;-;-;-;-;-;-;1;1;-;1;-;3
"210596 LAGOA GRANDE DO MARANHAO";-;-;-;-;-;-;-;-;2;1;6;-;9
"210598 LAJEADO NOVO";2;-;-;1;-;2;-;-;-;6;6;-;17
"210610 LORETO";-;-;-;-;1;1;1;1;6;2;2;2;16
"210620 LUIS DOMINGUES";-;-;-;-;-;-;-;-;-;-;-;1;1
"210630 MAGALHAES DE ALMEIDA";-;-;-;-;-;-;-;-;-;-;2;-;2
"210632 MARACACUME";-;-;-;-;-;1;-;1;1;2;5;2;12
"210640 MATA ROMA";-;-;-;2;1;-;-;-;-;1;-;-;4
"210660 MATOES";-;-;-;-;2;1;3;2;2;1;3;1;15
"210663 MATOES DO NORTE";-;-;-;-;-;-;-;-;1;4;-;-;5
"210667 MILAGRES DO MARANHAO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210675 MIRANDA DO NORTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"210680 MIRINZAL";-;-;-;-;-;-;-;-;-;1;-;-;1
"210690 MONCAO";-;4;26;12;12;20;30;20;10;12;-;-;146
"210700 MONTES ALTOS";-;-;1;-;1;-;-;2;3;-;-;-;7
"210710 MORROS";-;-;-;-;-;-;-;-;1;-;6;-;7
"210725 NOVA COLINAS";-;-;-;-;-;-;-;1;2;3;6;1;13
"210730 NOVA IORQUE";-;-;-;-;-;-;-;-;-;3;2;-;5
"210740 OLHO D'AGUA DAS CUNHAS";-;-;-;-;-;-;-;-;-;5;-;-;5
"210750 PACO DO LUMIAR";-;1;2;-;6;5;9;6;6;3;3;-;41
"210760 PALMEIRANDIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210770 PARAIBANO";-;-;-;-;-;-;-;4;9;11;9;2;35
"210780 PARNARAMA";1;1;-;-;-;-;1;3;5;12;6;2;31
"210800 PASTOS BONS";-;-;-;-;-;-;-;-;1;14;6;1;22
"210810 PAULO RAMOS";-;-;-;-;-;-;-;-;-;-;2;4;6
"210820 PEDREIRAS";-;-;-;-;1;-;2;5;1;6;4;-;19
"210825 PEDRO DO ROSARIO";-;-;-;-;-;-;-;-;-;1;-;1;2
"210830 PENALVA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210840 PERI MIRIM";-;-;-;-;-;-;-;-;-;-;1;1;2
"210850 PINDARE-MIRIM";-;-;-;1;-;-;2;-;8;9;6;-;26
"210860 PINHEIRO";-;-;-;-;-;1;-;1;-;15;19;1;37
"210870 PIO XII";-;1;4;9;1;1;1;4;2;9;7;2;41
"210880 PIRAPEMAS";-;-;1;-;-;2;1;8;10;4;2;-;28
"210890 POCAO DE PEDRAS";-;2;-;-;-;1;-;-;-;2;1;-;6
"210900 PORTO FRANCO";-;1;-;-;-;3;7;6;9;8;1;-;35
"210905 PORTO RICO DO MARANHAO";-;-;-;-;-;-;-;-;-;-;2;3;5
"210910 PRESIDENTE DUTRA";-;-;-;-;-;1;1;-;-;-;-;-;2
"210920 PRESIDENTE JUSCELINO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210927 PRESIDENTE SARNEY";-;-;-;-;-;1;3;1;-;2;10;17;34
"210945 RAPOSA";-;-;-;-;-;1;-;1;4;10;17;2;35
"210950 RIACHAO";-;2;-;-;-;3;-;-;2;-;-;-;7
"210955 RIBAMAR FIQUENE";-;-;-;-;-;-;2;4;-;-;-;3;9
"210960 ROSARIO";-;-;-;-;-;-;1;1;9;2;1;-;14
"210970 SAMBAIBA";-;-;-;-;-;-;-;3;-;1;1;1;6
"210975 SANTA FILOMENA DO MARANHAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210980 SANTA HELENA";-;-;-;-;1;-;4;3;12;-;2;1;23
"210990 SANTA INES";-;-;2;1;2;1;5;9;12;21;-;-;53
"211000 SANTA LUZIA";3;-;1;-;-;-;2;1;3;6;1;-;17
"211003 SANTA LUZIA DO PARUA";-;-;-;-;-;-;2;23;43;18;10;-;96
"211020 SANTA RITA";-;-;-;-;1;2;20;1;2;1;-;-;27
"211023 SANTANA DO MARANHAO";-;-;-;-;-;1;-;2;1;1;-;-;5
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;-;-;1;-;3;5;3;2;14
"211040 SAO BENEDITO DO RIO PRETO";-;-;-;-;-;-;-;-;-;-;1;-;1
"211050 SAO BENTO";-;-;-;-;-;-;-;1;-;-;-;-;1
"211060 SAO BERNARDO";-;-;-;-;-;-;-;-;-;-;4;1;5
"211065 SAO DOMINGOS DO AZEITAO";-;-;-;-;-;-;-;-;-;-;2;2;4
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;-;-;-;-;3;47;-;-;50
"211085 SAO FRANCISCO DO BREJAO";-;-;-;-;-;-;-;-;1;4;11;-;16
"211090 SAO FRANCISCO DO MARANHAO";-;-;-;-;-;-;-;3;26;1;7;-;37
"211102 SAO JOAO DO CARU";-;-;-;-;-;-;-;1;-;-;-;-;1
"211105 SAO JOAO DO PARAISO";-;-;-;-;-;1;2;8;1;-;-;2;14
"211110 SAO JOAO DOS PATOS";-;1;-;1;3;10;17;26;33;38;40;5;174
"211120 SAO JOSE DE RIBAMAR";1;2;4;2;4;10;4;2;12;1;-;-;42
"211125 SAO JOSE DOS BASILIOS";-;-;-;-;-;-;-;-;1;3;-;-;4
"211130 SAO LUIS";7;12;8;14;26;49;104;112;118;140;106;6;702
"211140 SAO LUIS GONZAGA DO MARANHAO";1;1;-;-;-;-;2;5;3;-;-;-;12
"211150 SAO MATEUS DO MARANHAO";-;-;-;-;-;3;16;19;55;62;17;-;172
"211153 SAO PEDRO DA AGUA BRANCA";-;-;-;-;-;-;-;-;1;1;6;-;8
"211157 SAO PEDRO DOS CRENTES";5;5;8;14;12;30;15;22;14;13;3;-;141
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;-;-;-;-;-;-;4;5;-;-;-;9
"211167 SAO ROBERTO";-;-;-;-;-;-;-;-;1;-;1;-;2
"211170 SAO VICENTE FERRER";-;-;-;-;-;-;-;-;-;-;-;2;2
"211172 SATUBINHA";-;1;-;-;-;1;-;1;6;14;-;-;23
"211174 SENADOR ALEXANDRE COSTA";-;-;-;-;-;-;-;-;-;-;4;-;4
"211178 SERRANO DO MARANHAO";-;-;-;-;-;-;-;2;1;3;1;-;7
"211180 SITIO NOVO";-;5;-;3;-;4;5;14;16;10;16;3;76
"211190 SUCUPIRA DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"211195 SUCUPIRA DO RIACHAO";-;-;-;1;-;-;2;3;3;5;10;3;27
"211200 TASSO FRAGOSO";-;-;1;3;2;1;2;3;4;8;8;1;33
"211220 TIMON";1;10;7;2;3;14;19;48;40;17;23;-;184
"211223 TRIZIDELA DO VALE";-;-;-;1;-;-;-;-;-;-;-;-;1
"211230 TUNTUM";-;-;-;-;1;-;-;-;3;3;8;2;17
"211240 TURIACU";-;-;-;-;-;-;-;-;-;-;1;1;2
"211245 TURILANDIA";-;-;-;-;-;1;3;5;11;10;10;4;44
"211250 TUTOIA";-;-;-;-;4;6;6;10;6;-;-;-;32
"211260 URBANO SANTOS";-;-;-;1;-;-;-;-;-;-;3;-;4
"211270 VARGEM GRANDE";-;-;-;-;-;-;-;-;-;2;1;-;3
"211285 VILA NOVA DOS MARTIRIOS";-;-;-;-;-;3;2;2;7;17;27;2;60
"211290 VITORIA DO MEARIM";-;-;-;-;-;-;-;-;1;-;8;2;11
"211300 VITORINO FREIRE";-;-;-;-;-;-;1;-;-;1;2;-;4
"211400 ZE DOCA";-;-;1;-;1;6;7;28;18;8;10;2;81
"220005 ACAUA";-;-;-;-;-;1;-;-;-;9;4;-;14
"220020 AGUA BRANCA";-;1;-;-;-;-;-;-;-;-;-;-;1
"220025 ALAGOINHA DO PIAUI";-;-;-;-;-;-;-;-;2;-;-;-;2
"220040 ALTOS";-;-;-;-;-;-;-;-;-;4;2;-;6
"220045 ALVORADA DO GURGUEIA";-;-;-;-;1;2;3;3;4;8;11;10;42
"220050 AMARANTE";-;-;-;-;-;-;-;-;2;3;11;-;16
"220060 ANGICAL DO PIAUI";-;-;-;-;1;-;1;6;3;2;-;-;13
"220110 AVELINO LOPES";-;-;-;-;-;1;-;2;-;2;1;-;6
"220115 BAIXA GRANDE DO RIBEIRO";1;1;1;1;6;5;1;7;5;2;-;-;30
"220120 BARRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"220130 BARREIRAS DO PIAUI";-;-;-;-;-;1;-;-;1;-;-;-;2
"220160 BENEDITINOS";1;-;1;-;-;-;3;-;4;6;2;-;17
"220190 BOM JESUS";10;31;43;38;73;133;166;200;107;152;119;24;1096
"220191 BOM PRINCIPIO DO PIAUI";-;-;-;-;-;-;-;1;2;2;-;1;6
"220192 BONFIM DO PIAUI";-;-;-;-;-;-;1;7;2;5;7;4;26
"220196 BRASILEIRA";-;-;-;-;-;-;-;-;1;2;-;1;4
"220198 BREJO DO PIAUI";-;-;-;-;-;-;1;-;-;-;-;-;1
"220200 BURITI DOS LOPES";-;-;-;-;-;-;-;1;-;-;-;-;1
"220202 BURITI DOS MONTES";-;-;-;-;-;-;-;-;-;4;-;-;4
"220205 CABECEIRAS DO PIAUI";-;-;-;-;-;-;-;-;-;1;1;-;2
"220208 CAJUEIRO DA PRAIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"220210 CAMPINAS DO PIAUI";-;-;-;-;-;-;2;1;2;2;-;-;7
"220213 CAMPO GRANDE DO PIAUI";-;-;1;1;-;3;9;9;14;5;7;1;50
"220220 CAMPO MAIOR";-;-;-;-;-;2;-;2;-;1;-;-;5
"220230 CANTO DO BURITI";-;-;1;1;2;1;3;2;4;2;-;-;16
"220240 CAPITAO DE CAMPOS";-;-;-;-;-;-;-;2;4;7;7;4;24
"220273 COIVARAS";-;-;-;-;-;1;-;2;-;-;-;-;3
"220275 COLONIA DO GURGUEIA";-;-;-;-;2;-;1;1;4;5;2;-;15
"220290 CORRENTE";-;-;-;-;-;-;-;4;-;-;1;-;5
"220300 CRISTALANDIA DO PIAUI";-;-;1;-;2;-;-;2;-;-;-;-;5
"220310 CRISTINO CASTRO";-;-;-;-;-;1;2;-;1;2;2;-;8
"220320 CURIMATA";-;-;-;-;4;-;3;1;1;2;5;-;16
"220323 CURRAIS";3;15;10;8;8;13;17;35;57;36;18;13;233
"220330 DEMERVAL LOBAO";-;-;-;-;-;-;-;-;-;1;1;-;2
"220335 DIRCEU ARCOVERDE";-;-;1;1;-;-;-;3;3;-;-;-;8
"220345 DOM INOCENCIO";-;-;-;1;-;1;-;3;-;-;-;-;5
"220350 ELESBAO VELOSO";-;-;-;-;-;-;1;-;-;-;-;-;1
"220370 ESPERANTINA";-;-;-;-;-;-;-;-;-;-;-;1;1
"220375 FARTURA DO PIAUI";-;-;-;-;-;-;-;3;-;-;-;-;3
"220380 FLORES DO PIAUI";-;-;-;-;-;-;-;-;-;-;6;-;6
"220390 FLORIANO";-;-;-;1;1;3;6;10;7;8;11;3;50
"220435 GEMINIANO";-;-;-;-;-;-;-;-;1;-;1;-;2
"220450 GUADALUPE";-;1;-;-;3;22;16;25;31;26;14;1;139
"220465 ILHA GRANDE";1;-;-;-;-;-;-;-;-;-;3;-;4
"220470 INHUMA";-;-;-;-;-;-;-;-;-;1;1;-;2
"220490 ISAIAS COELHO";-;-;-;-;-;1;-;-;2;2;1;2;8
"220510 ITAUEIRA";-;-;-;-;-;-;-;-;1;-;-;-;1
"220520 JAICOS";-;-;-;-;-;-;-;-;1;1;8;1;11
"220527 JATOBA DO PIAUI";-;-;-;-;-;-;-;1;-;-;-;-;1
"220530 JERUMENHA";-;-;-;-;2;-;-;-;-;-;-;-;2
"220540 JOAQUIM PIRES";-;-;-;-;-;-;-;-;1;-;-;-;1
"220550 JOSE DE FREITAS";-;-;-;-;-;-;-;1;1;1;4;3;10
"220552 JULIO BORGES";2;-;-;1;2;1;-;-;3;-;-;-;9
"220553 JUREMA";-;-;-;-;-;-;-;-;-;-;1;-;1
"220554 LAGOINHA DO PIAUI";-;-;-;-;-;-;1;-;-;1;-;-;2
"220557 LAGOA DE SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;2;-;2
"220560 LANDRI SALES";-;-;-;-;-;-;-;2;-;-;2;2;6
"220590 MANOEL EMIDIO";-;-;-;-;-;-;-;5;2;4;14;-;25
"220595 MARCOLANDIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"220600 MARCOS PARENTE";2;-;-;-;1;-;-;1;3;3;4;-;14
"220605 MASSAPE DO PIAUI";-;-;-;-;-;-;-;-;1;-;-;1;2
"220620 MIGUEL ALVES";-;-;-;-;-;-;-;-;1;1;-;-;2
"220630 MIGUEL LEAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"220635 MILTON BRANDAO";-;-;-;-;-;-;-;-;1;-;3;-;4
"220640 MONSENHOR GIL";-;-;-;1;-;-;3;-;-;1;1;-;6
"220665 MORRO CABECA NO TEMPO";-;-;-;-;-;-;2;1;1;4;4;4;16
"220672 NAZARIA";2;-;2;-;1;-;-;1;5;1;-;-;12
"220680 NOSSA SENHORA DOS REMEDIOS";-;-;-;-;-;-;-;1;-;3;2;-;6
"220690 NOVO ORIENTE DO PIAUI";-;-;-;-;-;-;1;-;-;-;-;-;1
"220695 NOVO SANTO ANTONIO";-;-;-;-;-;-;-;-;-;1;1;-;2
"220700 OEIRAS";-;-;-;-;-;-;1;2;4;9;2;-;18
"220735 PAJEU DO PIAUI";-;-;-;-;-;-;-;-;1;1;-;-;2
"220760 PARNAGUA";-;-;-;-;6;1;3;12;8;21;16;-;67
"220770 PARNAIBA";-;2;5;6;6;12;12;15;17;35;36;16;162
"220777 PATOS DO PIAUI";-;-;-;-;-;-;-;1;1;6;-;2;10
"220780 PAULISTANA";-;-;-;-;-;-;1;1;-;-;-;-;2
"220785 PAVUSSU";-;-;-;-;-;-;-;-;-;1;-;-;1
"220790 PEDRO II";-;-;-;-;-;2;1;-;2;1;-;-;6
"220800 PICOS";-;-;-;-;-;1;-;1;2;3;3;2;12
"220810 PIMENTEIRAS";-;-;-;-;-;-;-;-;-;1;7;-;8
"220820 PIO IX";-;-;-;-;-;-;1;-;-;1;-;-;2
"220840 PIRIPIRI";-;-;-;-;-;-;1;1;-;1;-;1;4
"220855 PORTO ALEGRE DO PIAUI";-;-;-;-;-;-;-;1;-;-;-;-;1
"220865 QUEIMADA NOVA";-;-;-;-;-;-;1;-;-;-;-;-;1
"220870 REDENCAO DO GURGUEIA";-;1;-;1;4;7;19;23;12;14;16;3;100
"220890 RIBEIRO GONCALVES";25;24;6;5;4;-;5;6;1;1;2;-;79
"220900 RIO GRANDE DO PIAUI";-;-;-;-;2;-;-;-;-;6;8;9;25
"220930 SANTA LUZ";-;-;-;-;2;6;3;7;13;7;7;-;45
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";-;-;-;-;-;-;-;3;1;1;-;-;5
"220990 SAO JOAO DA SERRA";-;-;-;-;-;-;1;-;1;-;-;-;2
"220995 SAO JOAO DA VARJOTA";-;-;-;-;-;-;-;-;-;-;1;1;2
"220997 SAO JOAO DO ARRAIAL";-;-;-;-;-;-;-;-;1;-;-;-;1
"221000 SAO JOAO DO PIAUI";-;-;-;-;-;-;1;2;1;3;2;-;9
"221005 SAO JOSE DO DIVINO";-;-;-;-;-;-;-;2;1;1;1;-;5
"221020 SAO JOSE DO PIAUI";-;-;-;-;-;-;1;-;-;-;-;-;1
"221037 SAO LUIS DO PIAUI";-;-;-;-;-;-;-;-;1;-;-;-;1
"221040 SAO MIGUEL DO TAPUIO";-;-;-;1;-;-;-;2;1;-;-;-;4
"221050 SAO PEDRO DO PIAUI";-;-;-;-;-;-;-;2;-;-;2;-;4
"221060 SAO RAIMUNDO NONATO";-;-;-;1;1;1;-;1;5;4;1;-;14
"221063 SEBASTIAO LEAL";-;-;-;1;-;1;-;2;6;-;-;-;10
"221080 SIMPLICIO MENDES";-;-;-;-;-;-;-;2;11;18;2;-;33
"221100 TERESINA";38;56;50;55;73;126;111;195;242;232;238;27;1443
"221110 UNIAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"221120 URUCUI";-;-;-;-;-;-;6;10;3;3;3;-;25
"221130 VALENCA DO PIAUI";-;-;-;-;-;1;-;1;6;2;2;1;13
